import_path,top_level,status,distributions,evidence,evidence_type
Quartz.SpeechRecognition,Quartz,resolved_top_only,"[""pyobjc-framework-quartz""]",https://files.pythonhosted.org/packages/3c/94/2c9839958b0a2a040e22cca145040a8fc2612f099eda7524900d741f560d/pyobjc_framework_quartz-12.2.2-cp310-cp310-macosx_10_9_universal2.whl#sha256=d89a5f47c079b5c340d2b1cbb83eb6c4c92d4bb17cd4daf7d8c02c91a49f5399,subpath_unverified
Quartz.UIKit,Quartz,resolved_top_only,"[""pyobjc-framework-quartz""]",https://files.pythonhosted.org/packages/3c/94/2c9839958b0a2a040e22cca145040a8fc2612f099eda7524900d741f560d/pyobjc_framework_quartz-12.2.2-cp310-cp310-macosx_10_9_universal2.whl#sha256=d89a5f47c079b5c340d2b1cbb83eb6c4c92d4bb17cd4daf7d8c02c91a49f5399,subpath_unverified
QuartzCore,QuartzCore,unknown,[],,no_independent_evidence
QuickLook,QuickLook,unknown,[],,no_independent_evidence
RPi,RPi,resolved,"[""rpi-gpio""]",https://files.pythonhosted.org/packages/08/ab/a9e5fea78a3e3c536a28b32f00b44a3ec59b7cb2de8640303e6cd355a452/RPi.GPIO-0.7.1-cp27-cp27mu-linux_armv6l.whl#sha256=b86b66dc02faa5461b443a1e1f0c1d209d64ab5229696f32fb3b0215e0600c8c,file_metadata_exact
RPi.GPIO,RPi,resolved,"[""rpi-gpio""]",https://files.pythonhosted.org/packages/08/ab/a9e5fea78a3e3c536a28b32f00b44a3ec59b7cb2de8640303e6cd355a452/RPi.GPIO-0.7.1-cp27-cp27mu-linux_armv6l.whl#sha256=b86b66dc02faa5461b443a1e1f0c1d209d64ab5229696f32fb3b0215e0600c8c,file_metadata_exact
SQLLexer,SQLLexer,unknown,[],,no_independent_evidence
SQLListener,SQLListener,unknown,[],,no_independent_evidence
SQLParser,SQLParser,unknown,[],,no_independent_evidence
SQLParserListener,SQLParserListener,unknown,[],,no_independent_evidence
SafetyKit,SafetyKit,unknown,[],,no_independent_evidence
SalesforceMetadataAPI,SalesforceMetadataAPI,unknown,[],,no_independent_evidence
ScriptingBridge,ScriptingBridge,unknown,[],,no_independent_evidence
Security,Security,unknown,[],,no_independent_evidence
ServiceManagement,ServiceManagement,unknown,[],,no_independent_evidence
ShazamKit,ShazamKit,unknown,[],,no_independent_evidence
ShazamKit.Models,ShazamKit,unknown,[],,no_independent_evidence
ShazamKit.models,ShazamKit,unknown,[],,no_independent_evidence
SimpleLangLexer,SimpleLangLexer,unknown,[],,no_independent_evidence
SimpleLangParser,SimpleLangParser,unknown,[],,no_independent_evidence
Speech,Speech,unknown,[],,no_independent_evidence
SqlBaseLexer,SqlBaseLexer,unknown,[],,no_independent_evidence
SqlBaseParser,SqlBaseParser,unknown,[],,no_independent_evidence
SqlGrammarListener,SqlGrammarListener,unknown,[],,no_independent_evidence
SqlGrammarParser,SqlGrammarParser,unknown,[],,no_independent_evidence
SqlLexer,SqlLexer,unknown,[],,no_independent_evidence
SqlListener,SqlListener,unknown,[],,no_independent_evidence
SqlParser,SqlParser,unknown,[],,no_independent_evidence
StoreKit,StoreKit,unknown,[],,no_independent_evidence
StringIO,StringIO,unknown,[],,no_independent_evidence
SystemConfiguration,SystemConfiguration,unknown,[],,no_independent_evidence
_pytest,_pytest,resolved,"[""pytest""]",https://files.pythonhosted.org/packages/24/25/1de2678b631f5a49215c6c96fff41ba892b0a34df68d6d80292b1b48aa7f/pytest-9.1.1-py3-none-any.whl#sha256=37a86b45efb9a47a61a36449063e8e18d0cab3161329fc099eb21783169c4f0c,file_metadata_exact
_pytest.config,_pytest,resolved,"[""pytest""]",https://files.pythonhosted.org/packages/24/25/1de2678b631f5a49215c6c96fff41ba892b0a34df68d6d80292b1b48aa7f/pytest-9.1.1-py3-none-any.whl#sha256=37a86b45efb9a47a61a36449063e8e18d0cab3161329fc099eb21783169c4f0c,file_metadata_exact
