model,prompt_id,n,sample_hr,stratum
Llama-3.1,392,5,0.0,clean
Llama-3.1,424,5,0.0,clean
Llama-3.1,428,5,0.0,clean
Llama-3.1,495,5,0.0,clean
Llama-3.1,498,5,1.0,high
Llama-3.1,520,5,0.0,clean
Llama-3.1,527,5,0.0,clean
Llama-3.1,554,5,0.0,clean
Llama-3.1,565,5,0.0,clean
Llama-3.1,600,5,0.2,low_or_moderate
Llama-3.1,606,5,0.8,high
Llama-3.1,611,5,0.0,clean
Llama-3.1,619,5,0.0,clean
Llama-3.1,679,5,0.0,clean
Llama-3.1,722,5,0.0,clean
Llama-3.1,728,5,0.6,high
Llama-3.1,758,5,0.0,clean
Llama-3.1,767,5,0.0,clean
Llama-3.1,799,5,0.6,high
Llama-3.1,826,5,0.0,clean
Llama-3.1,833,5,0.0,clean
Llama-3.1,853,5,0.4,low_or_moderate
Llama-3.1,855,5,0.0,clean
Llama-3.1,868,5,0.0,clean
Llama-3.1,875,5,0.4,low_or_moderate
Llama-3.1,898,5,0.0,clean
Llama-3.1,900,5,0.2,low_or_moderate
Llama-3.1,933,5,0.0,clean
Llama-3.1,946,5,0.0,clean
Llama-3.1,985,5,0.0,clean
Llama-3.1,1067,5,0.0,clean
Llama-3.1,1085,5,0.6,high
Llama-3.1,1102,5,0.0,clean
Llama-3.1,1116,5,0.0,clean
Llama-3.1,1133,5,0.2,low_or_moderate
Llama-3.1,1162,5,0.0,clean
Llama-3.1,1185,5,0.0,clean
Llama-3.1,1194,5,0.4,low_or_moderate
Llama-3.1,1198,5,0.0,clean
Llama-3.1,1220,5,0.2,low_or_moderate
Llama-3.1,1222,5,0.4,low_or_moderate
Llama-3.1,1250,5,1.0,high
Llama-3.1,1276,5,1.0,high
Llama-3.1,1325,5,0.2,low_or_moderate
Llama-3.1,1461,5,1.0,high
Llama-3.1,1462,5,0.0,clean
Llama-3.1,1479,5,0.0,clean
Llama-3.1,1492,5,0.0,clean
Llama-3.1,1510,5,0.0,clean
Llama-3.1,1517,5,0.0,clean
Llama-3.1,1519,5,0.0,clean
Llama-3.1,1569,5,0.2,low_or_moderate
Llama-3.1,1637,5,0.0,clean
Llama-3.1,1647,5,0.0,clean
Llama-3.1,1679,5,0.0,clean
Llama-3.1,1702,5,0.0,clean
Llama-3.1,1712,5,0.0,clean
Llama-3.1,1741,5,0.4,low_or_moderate
Llama-3.1,1784,5,0.4,low_or_moderate
Llama-3.1,1806,5,0.4,low_or_moderate
Llama-3.1,1830,5,0.6,high
Llama-3.1,1834,5,0.8,high
Llama-3.1,1890,5,0.0,clean
Llama-3.1,1924,5,0.4,low_or_moderate
Llama-3.1,1930,5,0.2,low_or_moderate
Llama-3.1,1941,5,0.0,clean
Llama-3.1,1985,5,0.2,low_or_moderate
Llama-3.1,1993,5,0.0,clean
Llama-3.1,2003,5,0.0,clean
Llama-3.1,2053,5,0.2,low_or_moderate
Llama-3.1,2066,5,1.0,high
Llama-3.1,2086,5,0.4,low_or_moderate
Llama-3.1,2087,5,0.6,high
Llama-3.1,2192,5,0.2,low_or_moderate
Llama-3.1,2211,5,0.0,clean
Llama-3.1,2244,5,0.0,clean
Llama-3.1,2253,5,0.2,low_or_moderate
Llama-3.1,2264,5,0.2,low_or_moderate
Llama-3.1,2342,5,0.0,clean
Llama-3.1,2352,5,0.0,clean
Llama-3.1,2373,5,1.0,high
Llama-3.1,2395,5,0.6,high
Llama-3.1,2410,5,0.0,clean
Llama-3.1,2413,5,0.0,clean
Llama-3.1,2421,5,0.0,clean
Llama-3.1,2451,5,0.2,low_or_moderate
Llama-3.1,2464,5,0.4,low_or_moderate
Llama-3.1,2512,5,0.0,clean
Llama-3.1,2531,5,0.4,low_or_moderate
Llama-3.1,2560,5,0.0,clean
Llama-3.1,2598,5,0.0,clean
Llama-3.1,2626,5,0.0,clean
Llama-3.1,2640,5,0.2,low_or_moderate
Llama-3.1,2645,5,0.2,low_or_moderate
Llama-3.1,2664,5,0.0,clean
Llama-3.1,2670,5,0.0,clean
Llama-3.1,2675,5,0.2,low_or_moderate
Llama-3.1,2684,5,1.0,high
Llama-3.1,2708,5,0.0,clean
Llama-3.1,2718,5,0.0,clean
Llama-3.1,2733,5,0.8,high
Llama-3.1,2739,5,0.0,clean
Llama-3.1,2754,5,0.0,clean
Llama-3.1,2794,5,1.0,high
Llama-3.1,2817,5,0.0,clean
Llama-3.1,2822,5,0.2,low_or_moderate
Llama-3.1,2852,5,0.0,clean
Llama-3.1,2868,5,0.0,clean
Llama-3.1,2876,5,0.4,low_or_moderate
Llama-3.1,2893,5,0.0,clean
Llama-3.1,2957,5,0.6,high
Llama-3.1,2983,5,0.0,clean
Llama-3.1,3016,5,0.2,low_or_moderate
Llama-3.1,3063,5,0.0,clean
Llama-3.1,3096,5,0.0,clean
Llama-3.1,3166,5,0.2,low_or_moderate
Llama-3.1,3191,5,0.6,high
Llama-3.1,3252,5,1.0,high
Llama-3.1,3303,5,0.0,clean
Llama-3.1,3362,5,0.0,clean
Llama-3.1,3387,5,0.2,low_or_moderate
Llama-3.1,3404,5,0.6,high
Llama-3.1,3411,5,0.8,high
Llama-3.1,3447,5,0.0,clean
Llama-3.1,3477,5,0.0,clean
Llama-3.1,3549,5,0.0,clean
Llama-3.1,3572,5,0.0,clean
Llama-3.1,3593,5,0.4,low_or_moderate
Llama-3.1,3597,5,0.0,clean
Llama-3.1,3622,5,0.0,clean
Llama-3.1,3650,5,0.0,clean
Llama-3.1,3674,5,0.0,clean
Llama-3.1,3709,5,0.0,clean
Llama-3.1,3716,5,0.0,clean
Llama-3.1,3722,5,0.4,low_or_moderate
Llama-3.1,3741,5,0.0,clean
Llama-3.1,3788,5,0.0,clean
Llama-3.1,3801,5,0.2,low_or_moderate
Llama-3.1,3811,5,0.2,low_or_moderate
Llama-3.1,3818,5,0.0,clean
Llama-3.1,3823,5,0.2,low_or_moderate
Llama-3.1,3884,5,0.0,clean
Llama-3.1,3911,5,0.0,clean
Llama-3.1,3917,5,0.0,clean
Llama-3.1,3971,5,0.0,clean
Llama-3.1,3988,5,0.0,clean
Llama-3.1,4016,5,1.0,high
Llama-3.1,4033,5,0.0,clean
Llama-3.1,4077,5,0.0,clean
Llama-3.1,4085,5,0.0,clean
Llama-3.1,4127,5,0.4,low_or_moderate
Llama-3.1,4141,5,0.6,high
Llama-3.1,4157,5,0.8,high
Llama-3.1,4165,5,0.0,clean
Llama-3.1,4178,5,0.0,clean
Llama-3.1,4205,5,0.0,clean
Llama-3.1,4220,5,0.0,clean
Llama-3.1,4224,5,0.0,clean
Llama-3.1,4265,5,0.2,low_or_moderate
Llama-3.1,4287,5,0.8,high
Llama-3.1,4323,5,0.0,clean
Llama-3.1,4337,5,0.2,low_or_moderate
Llama-3.1,4371,5,0.0,clean
Llama-3.1,4382,5,0.0,clean
Llama-3.1,4388,5,0.0,clean
Llama-3.1,4472,5,0.0,clean
Llama-3.1,4475,5,0.0,clean
Llama-3.1,4524,5,0.6,high
Llama-3.1,4535,5,0.8,high
Llama-3.1,4544,5,0.6,high
Llama-3.1,4555,5,0.0,clean
Llama-3.1,4627,5,0.0,clean
Llama-3.1,4629,5,0.0,clean
Llama-3.1,4652,5,0.0,clean
Llama-3.1,4690,5,0.0,clean
Llama-3.1,4696,5,0.0,clean
Llama-3.1,4721,5,0.2,low_or_moderate
Llama-3.1,4765,5,0.0,clean
Llama-3.1,4808,5,0.2,low_or_moderate
Llama-3.1,4849,5,0.2,low_or_moderate
